,movieId,title,genres,AvgRating,tag
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9209302325581397,1140.6666666666667
1,2,Jumanji (1995),Adventure|Children|Fantasy,3.4318181818181817,851.0
2,3,Grumpier Old Men (1995),Comedy|Romance,3.2596153846153846,1186.5
4,5,Father of the Bride Part II (1995),Comedy,3.0714285714285716,1294.5
6,7,Sabrina (1995),Comedy|Romance,3.185185185185185,1320.0
10,11,"American President, The (1995)",Comedy|Drama|Romance,3.6714285714285713,1264.0
13,14,Nixon (1995),Drama,3.8333333333333335,1264.0
15,16,Casino (1995),Crime|Drama,3.926829268292683,326.0
16,17,Sense and Sensibility (1995),Drama|Romance,3.7761194029850746,268.0
20,21,Get Shorty (1995),Comedy|Crime|Thriller,3.49438202247191,233.0
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.2222222222222223,1369.0
24,25,Leaving Las Vegas (1995),Drama|Romance,3.625,589.0
25,26,Othello (1995),Drama,3.5,476.0
27,28,Persuasion (1995),Drama|Romance,4.2272727272727275,258.5
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.0131578947368425,1078.0
30,31,Dangerous Minds (1995),Drama,3.1842105263157894,1236.5
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.983050847457627,1031.6
32,34,Babe (1995),Children|Drama,3.65234375,943.6666666666666
33,36,Dead Man Walking (1995),Crime|Drama,3.8358208955223883,611.5
34,38,It Takes Two (1995),Children|Comedy,2.125,1519.0
35,39,Clueless (1995),Comedy|Romance,3.293269230769231,739.4285714285714
36,40,"Cry, the Beloved Country (1995)",Drama,4.25,369.0
37,41,Richard III (1995),Drama|War,3.7,476.0
39,43,Restoration (1995),Drama,3.1875,166.0
41,45,To Die For (1995),Comedy|Drama|Thriller,3.3125,294.0
42,46,How to Make an American Quilt (1995),Drama|Romance,3.066666666666667,1564.0
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,3.9753694581280787,1356.6666666666667
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.237745098039215,1356.1666666666667
47,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.4642857142857144,929.5
52,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.027027027027027,1582.0
55,62,Mr. Holland's Opus (1995),Drama,3.70625,1177.0
81,92,Mary Reilly (1996),Drama|Horror|Thriller,2.625,277.0
85,96,In the Bleak Midwinter (1995),Comedy|Drama,3.5,1492.0
89,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.782608695652174,1101.0
92,104,Happy Gilmore (1996),Comedy,3.4393939393939394,820.3333333333334
95,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.326923076923077,1175.0
97,110,Braveheart (1995),Action|Drama|War,4.031645569620253,873.5
98,111,Taxi Driver (1976),Crime|Drama|Thriller,4.105769230769231,627.0
101,116,Anne Frank Remembered (1995),Documentary,3.9,234.0
106,122,Boomerang (1992),Comedy|Romance,2.65625,824.0
115,140,Up Close and Personal (1996),Drama|Romance,3.5,1075.0
120,147,"Basketball Diaries, The (1995)",Drama,3.466666666666667,555.0
123,150,Apollo 13 (1995),Adventure|Drama|IMAX,3.845771144278607,980.3333333333334
126,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.9160583941605838,1457.0
133,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.8771929824561404,349.0
134,161,Crimson Tide (1995),Drama|Thriller|War,3.6359223300970873,1451.0
135,162,Crumb (1994),Documentary,4.205882352941177,249.0
147,175,Kids (1995),Drama,3.975,518.3333333333334
156,185,"Net, The (1995)",Action|Crime|Thriller,3.0401785714285716,776.0
168,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,4.125,325.0
183,215,Before Sunrise (1995),Drama|Romance,4.041666666666667,945.0
184,216,Billy Madison (1995),Comedy,3.326530612244898,938.3333333333334
189,222,Circle of Friends (1995),Drama|Romance,3.75,257.0
190,223,Clerks (1994),Comedy,3.855769230769231,1110.1666666666667
191,224,Don Juan DeMarco (1995),Comedy|Drama|Romance,3.6125,1211.0
196,230,Dolores Claiborne (1995),Drama|Thriller,3.3958333333333335,496.0
198,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,3.892857142857143,249.0
201,235,Ed Wood (1994),Comedy|Drama,3.6785714285714284,1166.0
203,237,Forget Paris (1995),Comedy|Romance,3.340909090909091,627.6666666666666
210,246,Hoop Dreams (1994),Documentary,4.293103448275862,661.0
211,247,Heavenly Creatures (1994),Crime|Drama,3.9285714285714284,52.0
212,248,Houseguest (1994),Comedy,3.176470588235294,562.5
213,249,Immortal Beloved (1994),Drama|Romance,3.7222222222222223,61.0
216,252,I.Q. (1994),Comedy|Romance,3.453488372093023,161.0
221,257,Just Cause (1995),Mystery|Thriller,3.5,794.0
224,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.231075697211155,924.4615384615385
225,261,Little Women (1994),Drama,3.880952380952381,318.0
226,262,"Little Princess, A (1995)",Children|Drama,3.9047619047619047,205.0
234,272,"Madness of King George, The (1994)",Comedy|Drama,3.7580645161290325,652.5
235,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,2.9464285714285716,965.0
239,277,Miracle on 34th Street (1994),Drama,3.223684210526316,103.0
241,279,My Family (1995),Drama,3.0,249.0
242,280,Murder in the First (1995),Drama|Thriller,4.076923076923077,1274.0
244,282,Nell (1994),Drama,3.3375,1180.0
249,288,Natural Born Killers (1994),Action|Crime|Thriller,3.233695652173913,1066.6666666666667
251,290,Once Were Warriors (1994),Crime|Drama,4.035714285714286,249.0
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,4.018796992481203,820.2
257,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.197068403908795,967.7624309392265
260,300,Quiz Show (1994),Drama,3.5185185185185186,513.0
267,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,3.8958333333333335,132.0
268,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,4.025,966.0
275,316,Stargate (1994),Action|Adventure|Sci-Fi,3.375,1497.0
276,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,3.2037037037037037,103.0
277,318,"Shawshank Redemption, The (1994)",Crime|Drama,4.429022082018927,927.5
284,326,To Live (Huozhe) (1994),Drama,4.0,249.0
287,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,3.3935185185185186,167.0
295,337,What's Eating Gilbert Grape (1993),Drama,3.7662337662337664,1139.0
296,338,Virtuosity (1995),Action|Sci-Fi|Thriller,2.8421052631578947,1369.0
297,339,While You Were Sleeping (1995),Comedy|Romance,3.4693877551020407,769.0
300,342,Muriel's Wedding (1994),Comedy,3.272727272727273,808.5
303,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,3.5972222222222223,1086.0
307,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,3.6045454545454545,530.0
308,350,"Client, The (1994)",Drama|Mystery|Thriller,3.3859649122807016,287.0
309,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,3.176470588235294,1055.0
314,356,Forrest Gump (1994),Comedy|Drama|Romance|War,4.164133738601824,1027.7777777777778
315,357,Four Weddings and a Funeral (1994),Comedy|Romance,3.5194174757281553,1564.0
319,361,It Could Happen to You (1994),Comedy|Drama|Romance,3.0588235294117645,939.0
321,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,4.0,241.5
322,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,3.941860465116279,445.6
329,371,"Paper, The (1994)",Comedy|Drama,3.3095238095238093,1075.0
334,377,Speed (1994),Action|Romance|Thriller,3.5292397660818713,719.0
337,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,3.497191011235955,1425.0
338,381,When a Man Loves a Woman (1994),Drama|Romance,3.8181818181818183,589.0
355,410,Addams Family Values (1993),Children|Comedy|Fantasy,3.1011904761904763,596.6666666666666
356,412,"Age of Innocence, The (1993)",Drama,3.5,159.0
357,413,Airheads (1994),Comedy,2.7884615384615383,118.0
365,421,Black Beauty (1994),Adventure|Children|Drama,3.2083333333333335,1014.0
369,425,Blue Sky (1994),Drama|Romance,3.75,767.0
375,431,Carlito's Way (1993),Crime|Drama,3.738095238095238,694.0
383,440,Dave (1993),Comedy|Romance,3.5460526315789473,422.0
395,454,"Firm, The (1993)",Drama|Thriller,3.5346534653465347,287.0
398,457,"Fugitive, The (1993)",Thriller,3.9921052631578946,657.0
409,471,"Hudsucker Proxy, The (1994)",Comedy,3.55,1018.0
412,474,In the Line of Fire (1993),Action|Thriller,3.692857142857143,627.0
413,475,In the Name of the Father (1993),Drama,4.3,257.0
415,477,What's Love Got to Do with It? (1993),Drama|Musical,3.3823529411764706,683.0
418,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,3.75,138.0
425,488,M. Butterfly (1993),Drama|Romance,3.0,820.5
434,497,Much Ado About Nothing (1993),Comedy|Romance,3.813953488372093,476.0
436,500,Mrs. Doubtfire (1993),Comedy|Drama,3.388888888888889,928.0
443,508,Philadelphia (1993),Drama,3.6136363636363638,13.0
